,200 ms,200 ms.1,location,frequency,noise level,neural threshold,Neural Threshold from fit line,Neural Threshold Standard Deviation,Neural Slope,Behavioral Thresh,Behavioral Threshold from fit line
286,tank110909a,~OurData-7,CN,12000,34.0,21.5,22.8,6.07,0.0333,29.1,30.3
287,tank110909a,~OurData-8,CN,12000,44.0,44.2,45.9,6.58,0.0107,37.9,37.1
290,tank110919a,~OurData-6,CN,1050,44.0,35.0,35.1,3.58,0.0418,34.3,33.8
291,tank110919a,~OurData-9,CN,1050,34.0,26.5,26.6,1.32,0.0456,26.9,27.0
294,tank110922a,~OurData-9,CN,13500,44.0,,5.41,,,39.2,50.4
296,tank110923a,~OurData-11,CN,14000,34.0,37.9,74.0,12.4,0.0744,,
298,tank111019a,~OurData-10,CN,1280,44.0,43.3,41.8,4.5,0.0135,36.0,36.2
300,tank111021a,~OurData-13,CN,22000,44.0,37.0,37.5,1.91,0.0402,43.9,42.5
303,tank110330b,~OurData-5,CN,600,34.0,16.3,16.1,2.54,0.0227,22.7,21.8
304,tank110330b,~OurData-6,CN,600,44.0,22.8,23.9,1.66,0.0364,29.4,31.2
306,tank110329b,~OurData-10,CN,1650,44.0,55.8,14.2,19.0,0.0274,30.6,31.6
307,tank110329b,~OurData-11,CN,1650,34.0,19.0,19.1,7.08,0.0154,18.9,21.0
309,tank110328b,~OurData-6,CN,1250,34.0,22.0,23.8,4.63,0.0314,18.3,18.2
310,tank110328b,~OurData-7,CN,1250,44.0,30.7,31.0,5.58,0.0227,28.9,31.1
312,tank110323b,~OurData-6,CN,11000,34.0,24.6,24.1,2.31,0.0239,29.4,31.6
313,tank110323b,~OurData-7,CN,11000,44.0,32.1,32.3,2.75,0.0208,40.2,41.8
